surah_number,surah_name_arabic,surah_name_english,ayah_number,tafsir_text,tafsir_author,url,extraction_timestamp
96,العلق,Al-Alaq,1,الباحث القرآني﴿اقْرَأْ﴾ أمر فاعله مستتر ﴿بِاسْمِ﴾ الباء زائدة ﴿اسم﴾ مفعول به ﴿رَبِّكَ﴾ مضاف إليه ﴿الَّذِي﴾ صفة ربك ﴿خَلَقَ﴾ ماض فاعله مستتر والجملة صلة وجملة اقرأ.. ابتدائية لا محل لها.,Iraab ul Quran,https://tafsir.app/iraab-daas/96/1,2025-06-25 15:49:06
96,العلق,Al-Alaq,2,الباحث القرآني﴿خَلَقَ﴾ بدل من سابقه فاعله مستتر ﴿الْإِنْسانَ﴾ مفعول به ﴿مِنْ عَلَقٍ﴾ متعلقان بالفعل.,Iraab ul Quran,https://tafsir.app/iraab-daas/96/2,2025-06-25 15:49:08
96,العلق,Al-Alaq,3,الباحث القرآني﴿اقْرَأْ﴾ أمر فاعله مستتر والجملة مؤكدة لسابقتها ﴿وَ﴾ الواو حالية ﴿وَرَبُّكَ الْأَكْرَمُ﴾ مبتدأ وخبره والجملة حال.,Iraab ul Quran,https://tafsir.app/iraab-daas/96/3,2025-06-25 15:49:09
96,العلق,Al-Alaq,4,الباحث القرآني﴿الَّذِي﴾ صفة ثانية لربك ﴿عَلَّمَ﴾ ماض والفاعل مستتر ﴿بِالْقَلَمِ﴾ متعلقان بالفعل والجملة الفعلية صلة.,Iraab ul Quran,https://tafsir.app/iraab-daas/96/4,2025-06-25 15:49:11
96,العلق,Al-Alaq,5,الباحث القرآني﴿عَلَّمَ﴾ ماض فاعله مستتر وهو بدل من سابقه ﴿الْإِنْسانَ﴾ مفعول به أول ﴿ما﴾ مفعول به ثان ﴿لَمْ يَعْلَمْ﴾ مضارع مجزوم بلم والجملة صلة ما.,Iraab ul Quran,https://tafsir.app/iraab-daas/96/5,2025-06-25 15:49:13
96,العلق,Al-Alaq,6,الباحث القرآني﴿كَلَّا﴾ حرف ردع وزجر ﴿إِنَّ الْإِنْسانَ﴾ إن واسمها ﴿لَيَطْغى﴾ اللام المزحلقة ومضارع فاعله مستتر والجملة الفعلية خبر إن والجملة الاسمية مستأنفة لا محل لها.,Iraab ul Quran,https://tafsir.app/iraab-daas/96/6,2025-06-25 15:49:14
96,العلق,Al-Alaq,7,الباحث القرآني﴿أَنْ رَآهُ﴾ أن حرف مصدري ونصب وماض ومفعوله الأول والفاعل مستتر والمصدر المؤول من أن والفعل في محل نصب مفعول لأجله ﴿اسْتَغْنى﴾ ماض فاعله مستتر والجملة مفعول به ثان.,Iraab ul Quran,https://tafsir.app/iraab-daas/96/7,2025-06-25 15:49:16
96,العلق,Al-Alaq,8,"الباحث القرآني﴿إِنَّ﴾
حرف مشبه بالفعل ﴿إِلى رَبِّكَ﴾
خبر إن المقدم ﴿الرُّجْعى﴾
اسمها المؤخر والجملة مستأنفة.",Iraab ul Quran,https://tafsir.app/iraab-daas/96/8,2025-06-25 15:49:18
96,العلق,Al-Alaq,9,الباحث القرآني﴿أَرَأَيْتَ﴾ الهمزة حرف استفهام وماض وفاعله ﴿الَّذِي﴾ مفعول به ﴿يَنْهى﴾ مضارع فاعله مستتر والجملة صلة.,Iraab ul Quran,https://tafsir.app/iraab-daas/96/9,2025-06-25 15:49:19
96,العلق,Al-Alaq,10,الباحث القرآني﴿عَبْداً﴾ مفعول به ﴿إِذا﴾ ظرف زمان ﴿صَلَّى﴾ ماض فاعله مستتر والجملة في محل جر بالإضافة.,Iraab ul Quran,https://tafsir.app/iraab-daas/96/10,2025-06-25 15:49:21
